Country,Year,Population,Pop %,Deaths from All Causes,Deaths from External Causes,ASDR from All Causes,ASDR from External Causes,Raw Ratio,% Deaths Caused by External Factors
Germany,2013,80645605,0.05187897,893825,34133,425.9,23.7,0.038187565,0.055646865
Guatemala,2013,15690793,0.01009382,74866,12357,664.8,92.1,0.165054898,0.138537906
Hungary,2013,9893082,0.006364177,126778,6124,640.3,40.7,0.048304911,0.063563954
Israel,2013,8059456,0.005184613,41479,1753,358.1,18.8,0.04226235,0.052499302
Japan,2013,125704000,0.080864842,1268436,71767,315.3,31.3,0.056579126,0.099270536
Kyrgyzstan,2013,5719852,0.003679556,34880,3156,856.4,60.5,0.090481651,0.070644559
Lithuania,2013,2963810,0.001906606,41511,3615,694,95.8,0.087085351,0.138040346
Mexico,2013,123740109,0.079601479,596129,66231,556.4,54.3,0.111101792,0.097591661
Netherlands,2013,16804432,0.010810219,141245,6443,393.5,23,0.045615774,0.058449809
Moldova,2013,3558566,0.00228921,38060,2839,833.3,68.1,0.074592748,0.081723269
Singapore,2013,3844751,0.002473312,17810,727,345.5,15.8,0.040819764,0.045730825
South Africa,2013,53416609,0.034362674,458933,46821,1085.3,91.7,0.102021428,0.084492767
Spain,2013,46593236,0.029973228,390419,14678,341.6,19,0.037595506,0.055620609
Sweden,2013,9600379,0.006175882,90505,4816,373.7,31,0.05321253,0.082954241
Turkey,2013,76054617,0.048925607,357533,19608,490,25.9,0.05484249,0.052857143
United Kingdom,2013,64105654,0.041238891,576458,22264,407.4,24.5,0.038622068,0.060137457
United States,2013,317135919,0.204012171,2596993,195710,471.2,51.8,0.075360234,0.109932088
WORLD - reporting countries,2013,1554495098,1,11791926,851764,23633.4,1860.7,0.072232814,0.08816286
