Country,Year,Population,Pop %,Deaths from All Causes,Deaths from External Causes,ASDR from All Causes,ASDR from External Causes,Raw Ratio,% Deaths Caused by External Factors
Colombia,2008,44901660,0.021836604,196748,33117,553.8,73.4,0.168321914,0.132538823
Croatia,2008,4434508,0.002156593,52151,3035,633.3,49.6,0.058196391,0.078319912
Egypt,2008,75097301,0.036521367,466381,18211,1604.4,29.2,0.039047474,0.01819995
El Salvador,2008,6004199,0.002919966,31594,5668,618.3,100.8,0.179401152,0.163027656
Estonia,2008,1340675,0.000651998,16675,1358,692.3,83.4,0.08143928,0.120468005
France,2008,62304840,0.030300129,532474,37038,395.7,37.9,0.069558326,0.095779631
Germany,2008,82119776,0.039936541,844439,31511,441.7,24.6,0.037315898,0.05569391
Guatemala,2008,14106687,0.006860373,67356,12402,709.7,107.8,0.184126136,0.151895167
Hungary,2008,10038188,0.004881778,130027,7366,712.4,52,0.056649773,0.072992701
Israel,2008,7308796,0.003554418,39241,2036,404.8,24.7,0.051884509,0.061017787
Italy,2008,59832179,0.029097623,581470,24325,381.3,24.1,0.041833629,0.063204826
Japan,2008,125947000,0.061250624,1142407,73523,339.2,35.7,0.064357974,0.105247642
Kazakhstan,2008,15673998,0.007622589,152706,19693,1068.7,122.5,0.128960224,0.114625246
Kyrgyzstan,2008,5250137,0.00255325,37711,3789,979.6,79.4,0.100474663,0.081053491
Latvia,2008,2177322,0.001058877,31031,2453,805.9,92.5,0.079049982,0.114778508
Lithuania,2008,3198231,0.001555366,43832,4785,806.6,125,0.109166819,0.154971485
Mexico,2008,114972821,0.055913655,536335,59655,592.8,55.7,0.111227125,0.093960864
Netherlands,2008,16445594,0.007997832,135136,5426,428.1,22.1,0.040152143,0.051623452
Moldova,2008,3570108,0.001736217,41948,3548,986.8,88.8,0.08458091,0.089987839
Russia,2008,141956409,0.06903633,2075954,244463,1026.4,145.9,0.117759353,0.142147311
Singapore,2008,3642700,0.00177152,16162,800,397.8,19.8,0.049498824,0.049773756
South Africa,2008,48793020,0.023729052,592073,52831,1603,117.9,0.089230551,0.073549595
Spain,2008,45593385,0.022173004,386324,15289,395.1,23.9,0.039575589,0.060491015
Sweden,2008,9219638,0.0044837,91542,4810,402.1,32.9,0.052544187,0.081820443
Ukraine,2008,46077834,0.022408601,754460,61377,1035.2,113.1,0.081352225,0.10925425
United Arab Emirates,2008,6900142,0.003355681,7578,1477,497.5,26.6,0.194906308,0.053467337
United Kingdom,2008,61383157,0.029851896,579697,21390,451.6,25.6,0.036898587,0.056687334
United States,2008,304473143,0.148071571,2471984,183816,499.3,52.3,0.074359705,0.104746645
Venezuela,2008,28116716,0.013673739,133651,30001,616,107.5,0.224472694,0.174512987
WORLD - reporting countries,2008,2056256592,1,17397739,1413842,46592.8,4011.1,0.081265847,0.092024187
Argentina,2009,40798641,0.019770462,301868,18404,589.1,43,0.060967045,0.072992701
Armenia,2009,3243729,0.001571867,27560,1222,790.8,35,0.044339623,0.044258978
Australia,2009,21951736,0.01063751,140760,9071,363.6,33.1,0.064443024,0.091034103
Bahrain,2009,1178415,0.000571044,2387,218,504.7,21.4,0.091328027,0.042401427
Belarus,2009,9668120,0.004685038,135097,13896,904.4,119.1,0.102859427,0.131689518
Brazil,2009,196701298,0.09531875,1103088,138891,663.6,70.1,0.125911079,0.105635925
Canada,2009,33746559,0.016353119,238418,15637,388.8,34.7,0.065586491,0.089248971
Colombia,2009,45416276,0.022008104,196683,35361,534.5,76.9,0.179786763,0.143872778
Croatia,2009,4429078,0.00214627,52414,2987,620.1,46.9,0.056988591,0.075632962
Egypt,2009,80442443,0.038981304,476591,17969,853.4,23.4,0.037703188,0.027419733
El Salvador,2009,6021368,0.002917872,32872,6544,625,114.2,0.199075201,0.18272
Estonia,2009,1340271,0.000649477,16099,1284,649.1,79.3,0.079756507,0.122169157
France,2009,62615899,0.030342805,537197,37661,389.5,37.9,0.070106497,0.097304236
Germany,2009,81874770,0.03967539,854544,31832,436.9,24.3,0.037250276,0.055619135
Guatemala,2009,14418033,0.006986781,71707,13439,720.7,113.2,0.187415455,0.157069516
Hungary,2009,10022650,0.004856839,130414,7187,702.4,50.2,0.055109114,0.071469248
Israel,2009,7485565,0.003627402,38595,1927,377.6,22.7,0.049928747,0.060116525
Italy,2009,60192698,0.029168555,588438,24642,375.6,23.5,0.041876969,0.06256656
Jamaica,2009,2729575,0.001322715,17222,2668,586.8,93.3,0.154918128,0.158997955
Japan,2009,125820000,0.060970646,1141865,73598,328.9,35.5,0.064454204,0.107935543
Kazakhstan,2009,15924939,0.007717007,142778,17258,978.2,105.8,0.120872964,0.108157841
Kyrgyzstan,2009,5380310,0.002607224,35898,3468,943.2,71.2,0.096607053,0.075487701
Latvia,2009,2141669,0.001037823,29932,2158,765.8,81.7,0.072096753,0.106685819
Lithuania,2009,3162916,0.001532706,42032,4168,749.4,108.9,0.099162543,0.145316253
